Time(h),4 Components,5 Components,6 Components,7 Components,8 Components
1,0.684,0.865,0.846,0.8,0.82
2,0.614,0.758,0.785,0.729,0.705
3,0.481,0.68,0.767,0.725,0.667
4,0.404,0.616,0.746,0.705,0.64
5,0.341,0.596,0.728,0.702,0.637
6,0.31,0.594,0.705,0.698,0.646
7,0.295,0.587,0.693,0.68,0.642
8,0.276,0.558,0.677,0.673,0.629
9,0.258,0.529,0.661,0.668,0.62
10,0.251,0.521,0.651,0.657,0.618
11,0.241,0.502,0.635,0.646,0.614
12,0.23,0.493,0.612,0.636,0.604
13,0.219,0.483,0.607,0.628,0.59
14,0.21,0.475,0.591,0.617,0.584
15,0.203,0.467,0.576,0.606,0.573
16,0.194,0.458,0.563,0.601,0.566
17,0.187,0.451,0.559,0.597,0.564
18,0.18,0.444,0.542,0.585,0.55
19,0.173,0.44,0.537,0.582,0.544
20,0.167,0.433,0.537,0.574,0.54
21,0.163,0.434,0.539,0.572,0.531
22,0.156,0.428,0.538,0.571,0.53
23,0.153,0.426,0.538,0.567,0.529
24,0.15,0.424,0.534,0.557,0.527
