Time(h),4 Components,5 Components,6 Components,7 Components,8 Components
1,0.719,0.878,0.852,0.833,0.897
2,0.625,0.777,0.82,0.833,0.784
3,0.568,0.737,0.814,0.824,0.752
4,0.509,0.697,0.822,0.839,0.748
5,0.456,0.69,0.806,0.826,0.741
6,0.436,0.679,0.803,0.811,0.732
7,0.41,0.677,0.792,0.793,0.728
8,0.371,0.659,0.785,0.786,0.717
9,0.354,0.623,0.754,0.77,0.7
10,0.331,0.603,0.743,0.759,0.696
11,0.318,0.594,0.724,0.741,0.689
12,0.302,0.591,0.706,0.734,0.687
13,0.287,0.594,0.698,0.729,0.679
14,0.272,0.566,0.684,0.728,0.663
15,0.258,0.562,0.677,0.722,0.649
16,0.247,0.564,0.664,0.715,0.645
17,0.238,0.553,0.646,0.722,0.633
18,0.228,0.539,0.638,0.725,0.627
19,0.221,0.541,0.63,0.717,0.619
20,0.214,0.533,0.628,0.71,0.616
21,0.206,0.529,0.627,0.705,0.611
22,0.199,0.526,0.624,0.687,0.611
23,0.193,0.511,0.63,0.672,0.602
24,0.185,0.516,0.63,0.666,0.6
