Time(h),4 Components,5 Components,6 Components,7 Components,8 Components
1,75.0,41.0,34.0,32.0,31.0
2,130.0,75.0,67.2,62.0,52.0
3,152.0,100.0,96.0,87.0,72.0
4,178.0,123.0,124.0,124.0,90.0
5,190.2,148.0,148.0,134.0,111.0
6,207.6,180.0,169.0,148.0,133.0
7,230.4,209.0,197.0,204.0,154.2
8,243.2,230.0,220.8,210.0,170.8
9,255.0,249.0,243.0,227.0,189.0
10,274.2,274.2,267.0,264.0,208.0
11,288.2,296.4,285.0,279.0,230.0
12,299.6,316.4,298.0,304.0,249.0
13,308.8,336.8,313.2,322.0,264.8
14,319.2,358.2,334.0,348.0,282.0
15,328.2,379.8,354.0,369.4,293.0
16,335.2,401.8,368.0,386.0,310.4
17,343.4,420.0,389.0,412.2,328.0
18,349.4,438.8,402.8,433.6,336.0
19,355.2,457.8,417.6,442.0,353.0
20,361.2,474.0,440.4,469.0,370.0
21,370.0,501.8,463.8,487.0,382.0
22,374.6,517.4,486.2,508.0,401.0
23,379.2,537.8,510.8,516.0,418.0
24,390.0,558.0,530.0,551.0,432.0
