Time(h),4 Components,5 Components,6 Components,7 Components,8 Components
1,63.0,43.0,32.2,32.5,27.8
2,112.0,73.0,61.0,60.0,48.0
3,153.0,103.8,89.4,89.0,69.6
4,185.0,130.4,120.0,120.0,92.0
5,207.0,161.8,149.0,147.0,112.0
6,236.0,190.4,176.0,163.0,139.0
7,258.2,221.4,204.0,218.0,160.4
8,265.4,242.2,231.0,228.0,180.6
9,284.6,255.0,250.6,241.0,198.8
10,295.8,277.6,274.0,268.0,219.0
11,312.8,302.0,293.0,297.0,240.0
12,324.6,329.2,314.0,318.0,246.2
13,333.8,348.0,335.0,328.0,279.0
14,342.0,370.0,349.2,358.0,293.0
15,347.0,392.0,368.0,379.0,308.0
16,354.8,418.0,385.0,403.0,326.0
17,363.4,439.0,399.0,423.0,342.0
18,369.8,452.2,417.2,440.0,358.0
19,377.4,480.0,438.0,467.0,375.0
20,383.6,499.4,458.0,490.0,392.0
21,388.4,518.6,480.0,515.0,409.4
22,388.2,539.2,501.0,530.0,429.0
23,398.0,550.4,528.0,548.0,441.0
24,400.0,580.0,549.0,571.0,458.0
