Time(h),4 Components,5 Components,6 Components,7 Components,8 Components
1,109.6,47.4,40.2,40.0,37.8
2,211.8,99.0,85.6,85.0,73.8
3,315.8,147.0,125.2,120.0,108.0
4,440.2,199.6,166.2,176.0,140.6
5,557.4,248.2,203.4,191.0,174.2
6,669.6,302.8,239.8,212.0,206.0
7,780.2,355.8,284.2,300.0,240.0
8,881.2,412.2,326.0,312.0,271.6
9,987.8,470.6,367.8,340.0,304.6
10,1090.8,526.4,410.0,402.0,336.8
11,1197.4,591.0,448.6,432.0,374.8
12,1304.2,642.2,486.8,478.0,412.0
13,1410.6,697.2,516.4,513.0,448.6
14,1516.8,754.4,564.8,564.0,483.0
15,1615.0,813.2,615.0,610.0,511.6
16,1726.4,877.0,653.4,642.0,548.2
17,1836.6,930.8,696.2,690.0,582.0
18,1940.4,988.6,742.6,741.0,610.4
19,2054.2,1040.6,777.8,760.0,649.4
20,2164.0,1095.6,820.2,817.0,685.6
21,2276.6,1156.2,861.0,852.0,719.0
22,2397.8,1209.6,904.4,890.0,756.2
23,2480.8,1263.6,948.6,910.0,790.0
24,2600.0,1316.0,992.0,990.0,819.0
