Time(h),4 Components,5 Components,6 Components,7 Components,8 Components
1,87.6,49.0,37.8,39.0,31.0
2,179.2,94.0,74.4,72.0,61.2
3,269.2,140.8,109.8,108.0,92.6
4,363.8,187.2,146.0,143.0,123.0
5,454.0,234.4,184.8,178.0,151.2
6,541.4,280.6,219.2,201.0,190.0
7,629.8,327.0,257.6,275.0,220.2
8,715.6,367.4,294.2,290.0,252.0
9,804.8,409.6,332.4,313.0,284.0
10,893.4,460.2,368.6,353.0,314.6
11,984.0,508.6,404.6,401.0,348.4
12,1074.0,556.6,444.6,433.0,358.4
13,1162.6,586.2,480.0,450.0,410.6
14,1255.2,654.0,510.4,492.0,441.6
15,1345.6,698.0,543.6,525.0,474.4
16,1435.8,740.6,579.6,564.0,505.8
17,1526.4,793.6,617.8,586.0,540.4
18,1619.8,839.4,654.0,607.0,571.2
19,1705.2,887.4,695.2,651.0,605.8
20,1796.0,937.0,729.4,690.0,636.6
21,1884.6,981.2,765.2,730.0,670.4
22,1954.4,1026.0,803.2,771.0,702.4
23,2067.4,1077.8,838.6,816.0,732.0
24,2157.0,1124.0,872.0,857.0,763.0
